"knr","kname","month","age","unemp"
"98","1001","Kristiansand (-2019)","1999M02","15-74 years",2.8
"99","1001","Kristiansand (-2019)","1999M03","15-74 years",2.6
"100","1001","Kristiansand (-2019)","1999M04","15-74 years",2.5
"101","1001","Kristiansand (-2019)","1999M05","15-74 years",2.2
"102","1001","Kristiansand (-2019)","1999M06","15-74 years",2.7
"103","1001","Kristiansand (-2019)","1999M07","15-74 years",3
"104","1001","Kristiansand (-2019)","1999M08","15-74 years",3.3
"105","1001","Kristiansand (-2019)","1999M09","15-74 years",2.9
"106","1001","Kristiansand (-2019)","1999M10","15-74 years",3.1
"107","1001","Kristiansand (-2019)","1999M11","15-74 years",3
"108","1001","Kristiansand (-2019)","1999M12","15-74 years",2.9
"109","1001","Kristiansand (-2019)","2000M01","15-74 years",3.4
"110","1001","Kristiansand (-2019)","2000M02","15-74 years",3.2
"111","1001","Kristiansand (-2019)","2000M03","15-74 years",3.3
"112","1001","Kristiansand (-2019)","2000M04","15-74 years",3.2
"113","1001","Kristiansand (-2019)","2000M05","15-74 years",3.2
"114","1001","Kristiansand (-2019)","2000M06","15-74 years",3.4
"115","1001","Kristiansand (-2019)","2000M07","15-74 years",3.8
"116","1001","Kristiansand (-2019)","2000M08","15-74 years",4.1
"117","1001","Kristiansand (-2019)","2000M09","15-74 years",3.6
"118","1001","Kristiansand (-2019)","2000M10","15-74 years",3.3
"119","1001","Kristiansand (-2019)","2000M11","15-74 years",3.2
"120","1001","Kristiansand (-2019)","2000M12","15-74 years",3.2
"121","1001","Kristiansand (-2019)","2001M01","15-74 years",4
"122","1001","Kristiansand (-2019)","2001M02","15-74 years",3.7
"123","1001","Kristiansand (-2019)","2001M03","15-74 years",3.6
"124","1001","Kristiansand (-2019)","2001M04","15-74 years",3.3
"125","1001","Kristiansand (-2019)","2001M05","15-74 years",3.2
"126","1001","Kristiansand (-2019)","2001M06","15-74 years",3.1
"127","1001","Kristiansand (-2019)","2001M07","15-74 years",3.6
"128","1001","Kristiansand (-2019)","2001M08","15-74 years",3.8
"129","1001","Kristiansand (-2019)","2001M09","15-74 years",3.6
"130","1001","Kristiansand (-2019)","2001M10","15-74 years",3.6
"131","1001","Kristiansand (-2019)","2001M11","15-74 years",3.8
"132","1001","Kristiansand (-2019)","2001M12","15-74 years",3.7
"133","1001","Kristiansand (-2019)","2002M01","15-74 years",4.1
"134","1001","Kristiansand (-2019)","2002M02","15-74 years",3.9
"135","1001","Kristiansand (-2019)","2002M03","15-74 years",3.8
"136","1001","Kristiansand (-2019)","2002M04","15-74 years",3.7
"137","1001","Kristiansand (-2019)","2002M05","15-74 years",3.5
"138","1001","Kristiansand (-2019)","2002M06","15-74 years",4.1
"139","1001","Kristiansand (-2019)","2002M07","15-74 years",4.4
"140","1001","Kristiansand (-2019)","2002M08","15-74 years",4.6
"141","1001","Kristiansand (-2019)","2002M09","15-74 years",4.4
"142","1001","Kristiansand (-2019)","2002M10","15-74 years",4.3
"143","1001","Kristiansand (-2019)","2002M11","15-74 years",4.3
"144","1001","Kristiansand (-2019)","2002M12","15-74 years",4.6
"145","1001","Kristiansand (-2019)","1999M01","15-29 years",4.2
"146","1001","Kristiansand (-2019)","1999M02","15-29 years",4.1
"147","1001","Kristiansand (-2019)","1999M03","15-29 years",4
"148","1001","Kristiansand (-2019)","1999M04","15-29 years",3.6
"149","1001","Kristiansand (-2019)","1999M05","15-29 years",3.1
"150","1001","Kristiansand (-2019)","1999M06","15-29 years",3.8
"151","1001","Kristiansand (-2019)","1999M07","15-29 years",4.5
"152","1001","Kristiansand (-2019)","1999M08","15-29 years",5.3
"153","1001","Kristiansand (-2019)","1999M09","15-29 years",4.4
"154","1001","Kristiansand (-2019)","1999M10","15-29 years",4.4
"155","1001","Kristiansand (-2019)","1999M11","15-29 years",4.2
"156","1001","Kristiansand (-2019)","1999M12","15-29 years",4.1
"157","1001","Kristiansand (-2019)","2000M01","15-29 years",4.8
"158","1001","Kristiansand (-2019)","2000M02","15-29 years",4.3
"159","1001","Kristiansand (-2019)","2000M03","15-29 years",4.4
"160","1001","Kristiansand (-2019)","2000M04","15-29 years",4.1
"161","1001","Kristiansand (-2019)","2000M05","15-29 years",4.2
"162","1001","Kristiansand (-2019)","2000M06","15-29 years",4.8
"163","1001","Kristiansand (-2019)","2000M07","15-29 years",5.2
"164","1001","Kristiansand (-2019)","2000M08","15-29 years",5.7
"165","1001","Kristiansand (-2019)","2000M09","15-29 years",4.8
"166","1001","Kristiansand (-2019)","2000M10","15-29 years",4.3
"167","1001","Kristiansand (-2019)","2000M11","15-29 years",4.3
"168","1001","Kristiansand (-2019)","2000M12","15-29 years",4.3
"169","1001","Kristiansand (-2019)","2001M01","15-29 years",5
"170","1001","Kristiansand (-2019)","2001M02","15-29 years",4.6
"171","1001","Kristiansand (-2019)","2001M03","15-29 years",4.8
"172","1001","Kristiansand (-2019)","2001M04","15-29 years",4.3
"173","1001","Kristiansand (-2019)","2001M05","15-29 years",4.3
"174","1001","Kristiansand (-2019)","2001M06","15-29 years",4.2
"175","1001","Kristiansand (-2019)","2001M07","15-29 years",5
"176","1001","Kristiansand (-2019)","2001M08","15-29 years",5.6
"177","1001","Kristiansand (-2019)","2001M09","15-29 years",5
"178","1001","Kristiansand (-2019)","2001M10","15-29 years",5.1
"179","1001","Kristiansand (-2019)","2001M11","15-29 years",5.4
"180","1001","Kristiansand (-2019)","2001M12","15-29 years",5.2
"181","1001","Kristiansand (-2019)","2002M01","15-29 years",6.1
"182","1001","Kristiansand (-2019)","2002M02","15-29 years",5.8
"183","1001","Kristiansand (-2019)","2002M03","15-29 years",5.5
"184","1001","Kristiansand (-2019)","2002M04","15-29 years",5.7
"185","1001","Kristiansand (-2019)","2002M05","15-29 years",5.1
"186","1001","Kristiansand (-2019)","2002M06","15-29 years",6.3
"187","1001","Kristiansand (-2019)","2002M07","15-29 years",6.7
"188","1001","Kristiansand (-2019)","2002M08","15-29 years",7.3
"189","1001","Kristiansand (-2019)","2002M09","15-29 years",6.6
"190","1001","Kristiansand (-2019)","2002M10","15-29 years",6.3
"191","1001","Kristiansand (-2019)","2002M11","15-29 years",6.2
"192","1001","Kristiansand (-2019)","2002M12","15-29 years",6.6
"193","1002","Mandal (-2019)","1999M01","15-74 years",3.8
"194","1002","Mandal (-2019)","1999M02","15-74 years",3.3
"195","1002","Mandal (-2019)","1999M03","15-74 years",3.3
"196","1002","Mandal (-2019)","1999M04","15-74 years",3.3
"197","1002","Mandal (-2019)","1999M05","15-74 years",3
"198","1002","Mandal (-2019)","1999M06","15-74 years",3.2
